make,model,vehicle_style,year,engine_hp,msrp,hp_per_1000$
Audi,S3,Sedan,2015,292,47000,6.21
Chrysler,Sebring,Convertible,2010,173,27850,6.21
Chevrolet,Spark,"4dr Hatchback",2016,98,15785,6.21
Chevrolet,Suburban,"4dr SUV",2015,355,57205,6.21
BMW,"2 Series",Convertible,2016,240,38650,6.21
Audi,"allroad quattro",Wagon,2005,250,40250,6.21
Audi,"allroad quattro",Wagon,2005,250,40250,6.21
Volkswagen,"Beetle Convertible",Convertible,2014,210,33795,6.21
Volkswagen,"Beetle Convertible",Convertible,2014,210,33795,6.21
Mercedes-Benz,CLA-Class,Sedan,2015,208,33500,6.21
Honda,CR-Z,"2dr Hatchback",2016,130,20945,6.21
Chrysler,Crossfire,Convertible,2007,215,34595,6.21
Honda,Crosstour,"4dr Hatchback",2013,192,30915,6.21
Honda,Fit,"4dr Hatchback",2015,130,20925,6.21
Volkswagen,Golf,"4dr Hatchback",2015,170,27395,6.21
Infiniti,JX,"4dr SUV",2013,265,42650,6.21
Suzuki,Kizashi,Sedan,2013,180,28999,6.21
Mazda,"MX-5 Miata",Convertible,2014,167,26905,6.21
Mazda,"MX-5 Miata",Convertible,2015,167,26905,6.21
Lexus,"GS 350",Sedan,2016,311,50000,6.22
Toyota,Highlander,"4dr SUV",2015,185,29765,6.22
Pontiac,Montana,"Passenger Minivan",2003,185,29740,6.22
Mazda,"MX-5 Miata",Convertible,2016,155,24915,6.22
Kia,Optima,Sedan,2014,199,31995,6.22
BMW,"4 Series",Coupe,2015,300,48250,6.22
Toyota,4Runner,"4dr SUV",2014,270,43400,6.22
Chevrolet,Corvette,Convertible,2017,460,73905,6.22
Honda,CR-V,"4dr SUV",2016,185,29745,6.22
Chrysler,Crossfire,"2dr Hatchback",2007,215,34560,6.22
Infiniti,QX60,"4dr SUV",2016,265,42600,6.22
Acura,RL,Sedan,2012,300,48200,6.22
Chevrolet,Venture,"Passenger Minivan",2003,185,29740,6.22
Nissan,"Versa Note","4dr Hatchback",2015,109,17530,6.22
BMW,X5,"4dr SUV",2016,445,71500,6.22
Volvo,XC60,"4dr SUV",2015,300,48250,6.22
Toyota,"Yaris iA",Sedan,2017,106,17050,6.22
GMC,Yukon,"4dr SUV",2015,420,67520,6.22
Toyota,Venza,Wagon,2015,181,29065,6.23
BMW,X3,"4dr SUV",2015,240,38500,6.23
BMW,X4,"4dr SUV",2016,360,57800,6.23
GMC,Yukon,"4dr SUV",2016,355,57000,6.23
BMW,"1 Series",Convertible,2012,230,36900,6.23
BMW,"4 Series",Coupe,2016,300,48150,6.23
BMW,"5 Series Gran Turismo","4dr Hatchback",2015,445,71400,6.23
Volkswagen,"Beetle Convertible",Convertible,2014,170,27295,6.23
Volkswagen,"Beetle Convertible",Convertible,2014,170,27295,6.23
Volkswagen,"Beetle Convertible",Convertible,2014,170,27295,6.23
Volkswagen,"Beetle Convertible",Convertible,2014,170,27295,6.23
Infiniti,"G Sedan",Sedan,2011,218,35000,6.23
Volkswagen,GTI,"4dr Hatchback",2013,200,32095,6.23
Volkswagen,GTI,"4dr Hatchback",2013,200,32095,6.23
HUMMER,H3,"4dr SUV",2010,239,38365,6.23
Volkswagen,Jetta,Sedan,2015,150,24075,6.23
"Land Rover",LR4,"4dr SUV",2014,340,54600,6.23
Infiniti,M45,Sedan,2009,325,52150,6.23
Infiniti,M45,Sedan,2010,325,52150,6.23
Acura,MDX,"4dr SUV",2016,290,46515,6.23
Lincoln,MKZ,Sedan,2015,231,37080,6.23
Lincoln,MKZ,Sedan,2016,231,37080,6.23
Nissan,Murano,"4dr SUV",2016,250,40130,6.23
Toyota,RAV4,"4dr SUV",2017,176,28230,6.23
Chrysler,Sebring,Convertible,2009,173,27790,6.23
Mazda,Tribute,"4dr SUV",2011,171,27455,6.23
Honda,S2000,Convertible,2009,237,37995,6.24
Toyota,Sequoia,"4dr SUV",2015,381,61095,6.24
Volkswagen,Tiguan,"4dr SUV",2017,200,32070,6.24
Mazda,2,"4dr Hatchback",2012,100,16020,6.24
Saab,9-3,Wagon,2009,280,44885,6.24
Nissan,Armada,"4dr SUV",2015,317,50780,6.24
Cadillac,"ATS Coupe",Coupe,2015,321,51435,6.24
Honda,CR-V,"4dr SUV",2015,185,29645,6.24
Cadillac,CTS,Sedan,2017,335,53695,6.24
Mazda,CX-5,"4dr SUV",2016,184,29470,6.24
Hyundai,Equus,Sedan,2015,429,68750,6.24
Hyundai,Equus,Sedan,2016,429,68750,6.24
Volkswagen,Jetta,Sedan,2015,115,18425,6.24
Volkswagen,Eos,Convertible,2016,200,31995,6.25
Ford,Expedition,"4dr SUV",2017,365,58410,6.25
Mercedes-Benz,GLA-Class,"4dr SUV",2015,208,33300,6.25
Volkswagen,"Golf GTI","4dr Hatchback",2017,220,35195,6.25
Lexus,"GS 430",Sedan,2005,300,47975,6.25
Acura,Integra,Sedan,2001,140,22400,6.25
Mercedes-Benz,M-Class,"4dr SUV",2015,302,48300,6.25
Porsche,Macan,"4dr SUV",2017,340,54400,6.25
Nissan,Pathfinder,"4dr SUV",2016,260,41610,6.25
Honda,Pilot,"4dr SUV",2015,250,40020,6.25
Infiniti,QX60,"4dr SUV",2015,265,42400,6.25
Chevrolet,S-10,"Extended Cab Pickup",2002,120,19209,6.25
Cadillac,STS-V,Sedan,2007,469,75010,6.25
BMW,X4,"4dr SUV",2015,300,48000,6.25
GMC,"Yukon XL","4dr SUV",2015,420,67220,6.25
Saab,9-4X,"4dr SUV",2011,300,48010,6.25
Saab,9-5,Sedan,2011,300,48030,6.25
Honda,CR-Z,"2dr Hatchback",2015,130,20795,6.25
BMW,"3 Series",Sedan,2016,240,38350,6.26
BMW,"3 Series",Sedan,2016,240,38350,6.26
BMW,"4 Series Gran Coupe",Sedan,2016,300,47950,6.26
Audi,"allroad quattro",Wagon,2003,250,39950,6.26
Audi,"allroad quattro",Wagon,2004,250,39950,6.26
Audi,"allroad quattro",Wagon,2004,250,39950,6.26
Honda,Civic,Sedan,2015,143,22840,6.26
Chevrolet,Corvette,Convertible,2015,460,73450,6.26
Infiniti,Q70,Sedan,2016,420,67050,6.26
Lexus,"RX 300","4dr SUV",2003,220,35125,6.26
Toyota,Sienna,"Passenger Minivan",2017,296,47310,6.26
Volkswagen,Touareg,"4dr SUV",2015,280,44705,6.26
Mazda,Tribute,"4dr SUV",2010,171,27305,6.26
Hyundai,Equus,Sedan,2014,429,68500,6.26
"Land Rover",Freelander,"4dr SUV",2003,174,27775,6.26
Infiniti,M35,Sedan,2008,275,43900,6.26
Nissan,Pathfinder,"4dr SUV",2015,260,41560,6.26
BMW,X3,"4dr SUV",2017,300,47950,6.26
Toyota,Yaris,"4dr Hatchback",2016,106,16930,6.26
Toyota,Yaris,"2dr Hatchback",2017,106,16910,6.27
Lexus,"RX 330","4dr SUV",2004,230,36675,6.27
Audi,S5,Coupe,2016,333,53100,6.27
Audi,S5,Coupe,2017,333,53100,6.27
Nissan,Sentra,Sedan,2015,130,20720,6.27
Toyota,Tacoma,"Crew Cab Pickup",2015,236,37615,6.27
GMC,Terrain,"4dr SUV",2017,182,29050,6.27
Nissan,Altima,Sedan,2017,179,28570,6.27
Cadillac,"ATS Coupe",Coupe,2017,272,43395,6.27
Cadillac,CT6,Sedan,2016,404,64395,6.27
Cadillac,CT6,Sedan,2017,404,64395,6.27
Ford,Expedition,"4dr SUV",2016,365,58185,6.27
Subaru,Impreza,"4dr Hatchback",2016,148,23595,6.27
Lincoln,LS,Sedan,2005,232,36990,6.27
Buick,Lucerne,Sedan,2010,227,36230,6.27
Mitsubishi,Outlander,"4dr SUV",2017,166,26495,6.27
Ford,Fiesta,Sedan,2017,120,19120,6.28
Volkswagen,Jetta,Sedan,2015,115,18320,6.28
Nissan,NV200,"Cargo Minivan",2016,131,20870,6.28
Audi,"RS 4",Sedan,2008,420,66910,6.28
Acura,"TSX Sport Wagon",Wagon,2014,201,31985,6.28
Ford,Windstar,"Passenger Minivan",2003,200,31835,6.28
Toyota,Yaris,"4dr Hatchback",2015,106,16880,6.28
Toyota,Yaris,"4dr Hatchback",2016,106,16870,6.28
BMW,"4 Series Gran Coupe",Sedan,2015,300,47800,6.28
Mercedes-Benz,C-Class,Sedan,2015,241,38400,6.28
GMC,Canyon,"Extended Cab Pickup",2016,200,31855,6.28
Saab,"9-3 Griffin",Wagon,2012,220,34975,6.29
Saab,"9-3 Griffin",Wagon,2012,220,34975,6.29
Honda,CR-V,"4dr SUV",2015,185,29395,6.29
Chrysler,Crossfire,Coupe,2006,215,34195,6.29
Chrysler,Crossfire,Convertible,2006,215,34185,6.29
Cadillac,CTS,Sedan,2016,335,53285,6.29
Mazda,CX-3,"4dr SUV",2016,146,23210,6.29
Mazda,CX-3,"4dr SUV",2017,146,23210,6.29
Cadillac,Eldorado,Coupe,2002,300,47660,6.29
Audi,Q3,"4dr SUV",2017,200,31800,6.29
Acura,RLX,Sedan,2016,377,59950,6.29
Lexus,"RX 400h","4dr SUV",2007,268,42580,6.29
Chevrolet,Sonic,"4dr Hatchback",2015,138,21945,6.29
Audi,"TT RS",Coupe,2013,360,57200,6.29
Buick,Enclave,"4dr SUV",2017,288,45765,6.29
Ford,Expedition,"4dr SUV",2017,365,58021,6.29
Volkswagen,"Golf SportWagen",Wagon,2016,170,27025,6.29
Volkswagen,"Golf SportWagen",Wagon,2017,170,27030,6.29
Acura,ILX,Sedan,2017,201,31980,6.29
GMC,Jimmy,"4dr SUV",2001,190,30225,6.29
Dodge,Journey,"4dr SUV",2017,173,27495,6.29
Mitsubishi,"Montero Sport","4dr SUV",2002,197,31317,6.29
Mitsubishi,"Montero Sport","4dr SUV",2003,197,31317,6.29
Volkswagen,"Golf SportWagen",Wagon,2015,170,26995,6.3
Lexus,"GS 350",Sedan,2015,306,48600,6.3
Acura,ILX,Sedan,2016,201,31890,6.3
Volkswagen,"Jetta Hybrid",Sedan,2013,170,26990,6.3
Lincoln,MKC,"4dr SUV",2017,240,38125,6.3
Volvo,S60,Sedan,2016,302,47900,6.3
Cadillac,SRX,"4dr SUV",2015,308,48920,6.3
Cadillac,SRX,"4dr SUV",2016,308,48920,6.3
Ford,"Transit Connect","Passenger Minivan",2016,169,26825,6.3
Ford,"Transit Connect","Passenger Minivan",2016,169,26825,6.3
Cadillac,ATS,Sedan,2016,272,43155,6.3
Volkswagen,Beetle,"2dr Hatchback",2015,170,26985,6.3
Volkswagen,Beetle,"2dr Hatchback",2015,170,26985,6.3
Honda,CR-V,"4dr SUV",2014,185,29370,6.3
Honda,CR-Z,"2dr Hatchback",2014,130,20645,6.3
Subaru,Crosstrek,"4dr SUV",2017,148,23495,6.3
Mazda,CX-5,"4dr SUV",2015,184,29220,6.3
Volvo,V60,Wagon,2016,240,38100,6.3
Volvo,V60,Wagon,2017,240,38100,6.3
Toyota,Yaris,"4dr Hatchback",2015,106,16820,6.3
BMW,"Z4 M",Convertible,2008,330,52400,6.3
Volvo,V60,Wagon,2016,250,39600,6.31
Nissan,Versa,Sedan,2017,109,17280,6.31
GMC,Yukon,"4dr SUV",2015,355,56225,6.31
Cadillac,SRX,"4dr SUV",2015,308,48840,6.31
Cadillac,SRX,"4dr SUV",2016,308,48840,6.31
Toyota,Tacoma,"Extended Cab Pickup",2016,159,25185,6.31
Acura,"TSX Sport Wagon",Wagon,2013,201,31860,6.31
Buick,Enclave,"4dr SUV",2016,288,45660,6.31
Ford,Fusion,Sedan,2017,231,36620,6.31
Volkswagen,"Golf Alltrack",Wagon,2017,170,26950,6.31
Volkswagen,GTI,"4dr Hatchback",2012,200,31695,6.31
Volkswagen,GTI,"4dr Hatchback",2012,200,31695,6.31
Scion,iA,Sedan,2016,106,16800,6.31
Subaru,Impreza,Sedan,2017,152,24095,6.31
Lincoln,LS,Sedan,2004,232,36770,6.31
Acura,MDX,"4dr SUV",2017,290,45950,6.31
Chevrolet,Metro,Sedan,2001,79,12515,6.31
Lincoln,MKX,"4dr SUV",2017,303,48055,6.31
Nissan,"Murano CrossCabriolet","Convertible SUV",2014,265,41995,6.31
BMW,"2 Series",Convertible,2016,320,50750,6.31
Volkswagen,CC,Sedan,2016,280,44355,6.31
Mazda,CX-9,"4dr SUV",2016,227,35970,6.31
FIAT,500,"2dr Hatchback",2017,101,15990,6.32
GMC,Canyon,"Crew Cab Pickup",2015,200,31650,6.32
Honda,Civic,Coupe,2015,143,22640,6.32
"Land Rover",Discovery,"4dr SUV",2003,217,34350,6.32
"Land Rover",Discovery,"4dr SUV",2004,217,34330,6.32
Infiniti,QX80,"4dr SUV",2015,400,63250,6.32
Infiniti,QX80,"4dr SUV",2016,400,63250,6.32
GMC,Terrain,"4dr SUV",2017,182,28800,6.32
Ford,Windstar,"Passenger Minivan",2002,200,31630,6.32
Volvo,XC60,"4dr SUV",2016,302,47750,6.32
Ford,Expedition,"4dr SUV",2016,365,57795,6.32
Infiniti,"G Sedan",Sedan,2012,218,34500,6.32
Dodge,Journey,"4dr SUV",2016,173,27395,6.32
Mercedes-Benz,M-Class,"4dr SUV",2014,302,47790,6.32
Infiniti,M35,Sedan,2010,303,47950,6.32
Nissan,NV200,"Cargo Minivan",2015,131,20720,6.32
Lexus,"NX 200t","4dr SUV",2017,235,37185,6.32
Subaru,Outback,"4dr SUV",2016,175,27695,6.32
Subaru,Outback,"4dr SUV",2017,175,27695,6.32
Volkswagen,Passat,Sedan,2015,170,26915,6.32
Volkswagen,Passat,Sedan,2015,170,26915,6.32
Mercedes-Benz,GLA-Class,"4dr SUV",2017,208,32850,6.33
Lexus,"GS 460",Sedan,2010,342,54070,6.33
Toyota,Highlander,"4dr SUV",2015,270,42680,6.33
Buick,LeSabre,Sedan,2005,205,32385,6.33
Chevrolet,"Malibu Hybrid",Sedan,2010,164,25925,6.33
Ford,"Transit Connect","Passenger Minivan",2015,169,26710,6.33
Ford,"Transit Connect","Passenger Minivan",2015,169,26710,6.33
Chevrolet,Trax,"4dr SUV",2016,138,21800,6.33
Chevrolet,Trax,"4dr SUV",2016,138,21800,6.33
Audi,"TT RS",Coupe,2012,360,56850,6.33
Subaru,Crosstrek,"4dr SUV",2016,148,23395,6.33
Mazda,CX-5,"4dr SUV",2014,184,29070,6.33
Dodge,Dakota,"Crew Cab Pickup",2010,210,33180,6.33
Chevrolet,Venture,"Passenger Minivan",2003,185,29240,6.33
GMC,"Yukon Hybrid","4dr SUV",2012,332,52470,6.33
BMW,"Z4 M",Convertible,2007,330,52100,6.33
Infiniti,QX,"4dr SUV",2012,400,63100,6.34
Ford,"Transit Wagon","Passenger Van",2017,275,43370,6.34
Buick,Enclave,"4dr SUV",2015,288,45450,6.34
Infiniti,FX,"4dr SUV",2013,390,61500,6.34
Infiniti,"G Convertible",Convertible,2012,325,51300,6.34
Lexus,"IS 300",Sedan,2017,255,40200,6.34
Lincoln,MKX,"4dr SUV",2016,303,47810,6.34
Lincoln,MKZ,Sedan,2017,245,38650,6.34
Lexus,"NX 200t","4dr SUV",2016,235,37065,6.34
Mitsubishi,Outlander,"4dr SUV",2015,166,26195,6.34
BMW,"4 Series",Coupe,2017,320,50500,6.34
Mazda,5,"Passenger Minivan",2015,157,24770,6.34
GMC,Acadia,"4dr SUV",2016,281,44295,6.34
Volkswagen,CC,Sedan,2016,200,31570,6.34
Volkswagen,CC,Sedan,2016,200,31570,6.34
Chevrolet,Colorado,"Extended Cab Pickup",2015,200,31555,6.34
BMW,"3 Series Gran Turismo","4dr Hatchback",2015,300,47250,6.35
Audi,"allroad quattro",Wagon,2005,300,47250,6.35
Nissan,Armada,"4dr SUV",2014,317,49960,6.35
Honda,CR-V,"4dr SUV",2014,185,29120,6.35
Cadillac,"CTS Coupe",Coupe,2012,318,50050,6.35
Cadillac,"CTS Coupe",Coupe,2013,318,50050,6.35
Infiniti,Q70,Sedan,2015,330,52000,6.35
Infiniti,Q70,Sedan,2016,330,52000,6.35
Audi,"RS 5",Coupe,2015,450,70900,6.35
Chevrolet,S-10,"Extended Cab Pickup",2003,120,18905,6.35
Honda,S2000,Convertible,2008,237,37300,6.35
Audi,S6,Sedan,2016,450,70900,6.35
Audi,S6,Sedan,2017,450,70900,6.35
Chrysler,Sebring,Convertible,2008,186,29275,6.35
Toyota,Sienna,"Passenger Minivan",2016,266,41900,6.35
Kia,Sorento,"4dr SUV",2017,290,45700,6.35
Acura,TSX,Sedan,2014,201,31635,6.35
Acura,TSX,Sedan,2014,201,31635,6.35
Hyundai,Tucson,"4dr SUV",2016,175,27550,6.35
BMW,X5,"4dr SUV",2015,445,70100,6.35
Volvo,XC90,"4dr SUV",2016,316,49800,6.35
Subaru,"XV Crosstrek","4dr SUV",2015,148,23295,6.35
Ford,"Explorer Sport Trac","Crew Cab Pickup",2010,210,33065,6.35
Volkswagen,GTI,"2dr Hatchback",2013,200,31495,6.35
Volkswagen,GTI,"2dr Hatchback",2013,200,31495,6.35
Honda,HR-V,"4dr SUV",2017,141,22215,6.35
Subaru,Impreza,"4dr Hatchback",2015,148,23295,6.35
GMC,Jimmy,"4dr SUV",2001,190,29925,6.35
Kia,K900,Sedan,2016,311,49000,6.35
Buick,Lucerne,Sedan,2009,227,35770,6.35
Buick,Lucerne,Sedan,2010,227,35730,6.35
Nissan,Frontier,"Extended Cab Pickup",2017,152,23910,6.36
Buick,Lucerne,Sedan,2011,227,35675,6.36
Toyota,RAV4,"4dr SUV",2016,176,27670,6.36
Acura,RL,Sedan,2011,300,47200,6.36
Audi,"RS 4",Sedan,2007,420,66000,6.36
BMW,"4 Series Gran Coupe",Sedan,2017,320,50300,6.36
Mazda,5,"Passenger Minivan",2014,157,24670,6.36
Nissan,Armada,"4dr SUV",2015,317,49880,6.36
Chevrolet,Avalanche,"Crew Cab Pickup",2012,320,50305,6.36
Cadillac,"CTS Coupe",Coupe,2014,318,49995,6.36
Nissan,Versa,Sedan,2016,109,17140,6.36
Volvo,XC60,"4dr SUV",2015,325,51050,6.37
Volvo,XC60,"4dr SUV",2016,325,51050,6.37
GMC,Yukon,"4dr SUV",2017,420,65965,6.37
Lexus,"RX 350","4dr SUV",2015,270,42370,6.37
Lexus,"RX 400h","4dr SUV",2008,268,42080,6.37
Volvo,S60,Sedan,2017,302,47400,6.37
Chrysler,Sebring,Convertible,2010,186,29210,6.37
Nissan,Sentra,Sedan,2016,130,20410,6.37
Toyota,Sienna,"Passenger Minivan",2015,266,41750,6.37
Toyota,Tacoma,"Crew Cab Pickup",2017,159,24950,6.37
GMC,Terrain,"4dr SUV",2016,182,28550,6.37
Volkswagen,Tiguan,"4dr SUV",2016,200,31390,6.37
Ford,Fiesta,"4dr Hatchback",2016,120,18830,6.37
Toyota,Highlander,"4dr SUV",2016,270,42375,6.37
Lexus,"IS 200t",Sedan,2017,241,37825,6.37
Volkswagen,"Jetta SportWagen",Wagon,2014,170,26685,6.37
Volkswagen,"Jetta SportWagen",Wagon,2014,170,26685,6.37
Buick,Lucerne,Sedan,2010,227,35625,6.37
Chevrolet,Malibu,Sedan,2017,160,25125,6.37
BMW,"2 Series",Convertible,2017,248,38950,6.37
GMC,Acadia,"4dr SUV",2015,281,44095,6.37
Nissan,Altima,Sedan,2016,182,28570,6.37
"Land Rover","Discovery Sport","4dr SUV",2017,240,37695,6.37
Mazda,3,"4dr Hatchback",2015,155,24295,6.38
Mazda,3,"4dr Hatchback",2016,155,24295,6.38
Toyota,4Runner,"4dr SUV",2016,270,42325,6.38
Saab,9-5,Wagon,2009,260,40765,6.38
Honda,Accord,Coupe,2017,185,28995,6.38
Cadillac,"ATS Coupe",Coupe,2015,321,50325,6.38
Cadillac,ATS,Sedan,2015,272,42660,6.38
Infiniti,Q70,Sedan,2014,330,51750,6.38
Infiniti,QX80,"4dr SUV",2014,400,62700,6.38
"Land Rover","Range Rover Sport","4dr SUV",2015,510,79995,6.38
"Land Rover","Range Rover Sport","4dr SUV",2016,510,79950,6.38
Acura,RDX,"4dr SUV",2017,279,43720,6.38
Lexus,"RX 330","4dr SUV",2005,230,36025,6.38
GMC,"Sierra 1500","Crew Cab Pickup",2017,355,55605,6.38
Chevrolet,Trax,"4dr SUV",2015,138,21620,6.38
Acura,TSX,Sedan,2013,201,31510,6.38
Acura,TSX,Sedan,2013,201,31510,6.38
Volvo,XC60,"4dr SUV",2015,300,47050,6.38
Volvo,XC60,"4dr SUV",2016,300,47050,6.38
Ford,Fiesta,"4dr Hatchback",2015,120,18805,6.38
Lincoln,LS,Sedan,2005,232,36360,6.38
Nissan,Murano,"4dr SUV",2016,260,40780,6.38
Nissan,Murano,"4dr SUV",2017,260,40780,6.38
Chevrolet,Equinox,"4dr SUV",2017,182,28500,6.39
Cadillac,"Escalade EXT","Crew Cab Pickup",2012,403,63060,6.39
Cadillac,"Escalade EXT","Crew Cab Pickup",2013,403,63060,6.39
Infiniti,FX45,"4dr SUV",2008,320,50100,6.39
Honda,HR-V,"4dr SUV",2016,141,22065,6.39
Buick,LeSabre,Sedan,2004,205,32085,6.39
Mercedes-Benz,M-Class,"4dr SUV",2013,302,47270,6.39
Chevrolet,Malibu,Sedan,2016,160,25020,6.39
Subaru,Outback,"4dr SUV",2016,175,27395,6.39
Mitsubishi,Outlander,"4dr SUV",2016,166,25995,6.39
Nissan,Rogue,"4dr SUV",2017,170,26590,6.39
Volkswagen,Routan,"Passenger Minivan",2012,283,44280,6.39
Chevrolet,S-10,"Regular Cab Pickup",2003,120,18780,6.39
GMC,"Sierra 1500 Hybrid","Crew Cab Pickup",2013,332,51935,6.39
Cadillac,STS,Sedan,2011,302,47280,6.39
Chevrolet,"Tahoe Hybrid","4dr SUV",2012,332,51970,6.39
Saab,9-3,Sedan,2010,207,32395,6.39
Audi,"allroad quattro",Wagon,2004,300,46950,6.39
Cadillac,Catera,Sedan,2001,200,31305,6.39
Chevrolet,Cruze,"4dr Hatchback",2017,153,23945,6.39
Cadillac,"CTS Wagon",Wagon,2012,318,49750,6.39
Cadillac,"CTS Wagon",Wagon,2013,318,49750,6.39
Cadillac,"CTS Wagon",Wagon,2014,318,49795,6.39
Volvo,V50,Wagon,2009,227,35500,6.39
Volvo,XC70,Wagon,2015,240,37550,6.39
Volvo,XC60,"4dr SUV",2016,302,47200,6.4
Toyota,Yaris,"2dr Hatchback",2016,106,16555,6.4
Acura,RLX,Sedan,2015,310,48450,6.4
Cadillac,SRX,"4dr SUV",2014,308,48145,6.4
Volkswagen,Tiguan,"4dr SUV",2015,200,31260,6.4
Mercedes-Benz,GLA-Class,"4dr SUV",2016,208,32500,6.4
Volkswagen,Golf,"4dr Hatchback",2015,150,23445,6.4
Suzuki,"Grand Vitara","4dr SUV",2013,166,25949,6.4
Lexus,"GS 460",Sedan,2009,342,53470,6.4
Mercedes-Benz,Metris,"Passenger Minivan",2016,208,32500,6.4
Nissan,Murano,"4dr SUV",2015,260,40600,6.4
FIAT,"124 Spider",Convertible,2017,160,24995,6.4
BMW,"3 Series",Sedan,2015,240,37500,6.4
BMW,"3 Series",Sedan,2015,240,37500,6.4
BMW,"3 Series",Sedan,2017,248,38750,6.4
Audi,A4,Sedan,2017,252,39400,6.4
Cadillac,"ATS Coupe",Coupe,2015,321,50165,6.4
Toyota,Corolla,Sedan,2016,132,20635,6.4
Cadillac,"CTS Wagon",Wagon,2014,270,42195,6.4
BMW,"3 Series",Sedan,2017,320,49900,6.41
Saab,"9-3 Griffin",Sedan,2012,220,34340,6.41
Saab,"9-3 Griffin",Sedan,2012,220,34340,6.41
GMC,"Acadia Limited","4dr SUV",2017,281,43850,6.41
Honda,Accord,Coupe,2016,185,28845,6.41
Honda,CR-Z,"2dr Hatchback",2016,130,20295,6.41
Cadillac,"CTS Wagon",Wagon,2012,270,42150,6.41
Cadillac,"CTS Wagon",Wagon,2013,270,42150,6.41
Mazda,CX-5,"4dr SUV",2015,155,24195,6.41
"Land Rover","Discovery Sport","4dr SUV",2016,240,37455,6.41
Acura,RDX,"4dr SUV",2016,279,43520,6.41
Acura,RL,Sedan,2010,300,46830,6.41
Honda,S2000,Convertible,2009,237,36995,6.41
Volvo,S40,Sedan,2010,168,26200,6.41
Toyota,Sienna,"Passenger Minivan",2017,296,46170,6.41
Chevrolet,"Silverado 1500","Crew Cab Pickup",2017,285,44465,6.41
Hyundai,"Sonata Hybrid",Sedan,2016,193,30100,6.41
Hyundai,"Sonata Hybrid",Sedan,2016,193,30100,6.41
Hyundai,"Sonata Hybrid",Sedan,2017,193,30100,6.41
Hyundai,"Sonata Hybrid",Sedan,2017,193,30100,6.41
Cadillac,SRX,"4dr SUV",2014,308,48065,6.41
Toyota,Tacoma,"Extended Cab Pickup",2015,159,24800,6.41
Chevrolet,Tahoe,"4dr SUV",2017,355,55345,6.41
Chevrolet,Trax,"4dr SUV",2015,138,21540,6.41
Acura,"TSX Sport Wagon",Wagon,2012,201,31360,6.41
Hyundai,Tucson,"4dr SUV",2017,175,27300,6.41
BMW,X3,"4dr SUV",2016,300,46800,6.41
Ford,Explorer,"4dr SUV",2017,280,43675,6.41
Subaru,Impreza,"4dr Hatchback",2016,148,23095,6.41
Acura,Integra,"2dr Hatchback",2001,140,21850,6.41
Subaru,Outback,"4dr SUV",2015,175,27295,6.41
Honda,Fit,"4dr Hatchback",2017,130,20265,6.42
Infiniti,FX45,"4dr SUV",2007,320,49850,6.42
Lexus,"IS 300",Sedan,2016,255,39700,6.42
Lexus,"IS 350 C",Convertible,2015,306,47640,6.42
Infiniti,JX,"4dr SUV",2013,265,41250,6.42
Lincoln,LS,Sedan,2004,232,36140,6.42
Lincoln,LS,Sedan,2005,280,43590,6.42
BMW,M4,Coupe,2017,425,66200,6.42
Chevrolet,"Malibu Hybrid",Sedan,2009,164,25555,6.42
Lexus,"NX 200t","4dr SUV",2015,235,36580,6.42
Honda,Pilot,"4dr SUV",2015,250,38970,6.42
GMC,"Sierra 1500","Crew Cab Pickup",2017,355,55305,6.42
Chevrolet,Sonic,"4dr Hatchback",2016,138,21495,6.42
Chevrolet,Sonic,Sedan,2016,138,21495,6.42
Buick,Terraza,"Passenger Minivan",2005,200,31170,6.42
Mazda,5,"Passenger Minivan",2013,157,24470,6.42
Saab,9-3,Sedan,2009,280,43605,6.42
Honda,Accord,Sedan,2017,185,28820,6.42
Toyota,"Camry Solara",Coupe,2008,155,24155,6.42
GMC,Canyon,"Extended Cab Pickup",2015,200,31145,6.42
Mercedes-Benz,CLA-Class,Sedan,2017,208,32400,6.42
Lincoln,Continental,Sedan,2017,305,47515,6.42
Nissan,Cube,Wagon,2014,122,19000,6.42
Toyota,Yaris,"2dr Hatchback",2015,106,16505,6.42
Volvo,V40,Wagon,2002,160,24900,6.43
Ford,Windstar,"Passenger Minivan",2001,200,31115,6.43
Cadillac,XTS,Sedan,2016,410,63770,6.43
Cadillac,XTS,Sedan,2017,410,63795,6.43
GMC,"Yukon Hybrid","4dr SUV",2011,332,51610,6.43
GMC,Yukon,"4dr SUV",2016,420,65325,6.43
Infiniti,Q50,Sedan,2017,300,46650,6.43
Infiniti,Q70,Sedan,2015,330,51350,6.43
Infiniti,Q70,Sedan,2015,420,65350,6.43
Infiniti,Q70,Sedan,2016,420,65350,6.43
Infiniti,Q70,Sedan,2016,330,51350,6.43
Toyota,Tacoma,"Extended Cab Pickup",2015,236,36705,6.43
GMC,Terrain,"4dr SUV",2015,182,28310,6.43
GMC,Terrain,"4dr SUV",2016,182,28300,6.43
Scion,FR-S,Coupe,2015,200,31090,6.43
Infiniti,FX45,"4dr SUV",2006,320,49750,6.43
Volkswagen,GTI,"2dr Hatchback",2012,200,31095,6.43
Volkswagen,GTI,"2dr Hatchback",2012,200,31095,6.43
BMW,M,Convertible,2006,330,51300,6.43
Mazda,2,"4dr Hatchback",2013,100,15560,6.43
Mazda,2,"4dr Hatchback",2014,100,15560,6.43
